Ex,Pay,Dec,Div
2015-09-18,2015-10-30,2015-09-17,1.033430000
2015-12-18,2016-01-29,2015-12-17,1.211550000
2015-12-29,2016-01-29,,
2016-03-18,2016-04-29,2016-03-17,1.049600000
2016-06-17,2016-07-29,2016-06-16,1.078440000
2016-09-16,2016-10-31,2016-09-15,1.082070000
2016-12-16,2017-01-31,2016-12-15,1.328930000
2016-12-28,2017-01-31,,
2017-03-17,2017-04-28,2017-03-16,1.033118000
2017-06-16,2017-07-31,2017-06-15,1.183108000
2017-09-15,2017-10-31,2017-09-14,1.234570000
2017-12-15,2018-01-31,2017-12-14,1.351330000
2017-12-28,2018-01-31,,
2018-03-16,2018-04-30,2018-01-10,1.09678
2018-06-15,2018-07-31,2018-06-14,1.245568
2018-09-21,2018-10-31,2018-01-10,1.322611
2018-12-21,2019-01-31,2018-01-10,1.435429
2018-12-28,,2018-01-13,
2019-03-15,2019-04-30,2019-01-10,1.233119
2019-06-21,2019-07-31,2019-01-10,1.43164
2019-09-20,2019-10-31,2019-01-10,1.383619
2019-12-20,2020-01-31,2019-01-10,1.569992
2019-12-30,,2019-01-10,
2020-03-20,2020-04-30,2020-01-16,1.405559
2020-06-19,2020-07-31,2020-01-16,1.366242
