Ex,Pay,Dec,Div
2015-08-12,2015-09-01,2015-07-28,0.355539
2015-11-12,2015-12-01,2015-11-04,0.3482385
2016-02-11,2016-03-01,2015-12-02,0.382395
2016-05-12,2016-06-01,2016-04-22,0.41128
2016-08-11,2016-09-01,2016-07-26,0.410167
2016-11-10,2016-12-01,2016-11-01,0.393525
2017-02-13,2017-03-01,2017-01-05,0.4455869
2017-05-11,2017-06-01,2017-05-04,0.446703
2017-08-11,2017-09-01,2017-08-03,0.478118
2017-11-14,2017-12-01,2017-11-01,0.477508
2018-02-14,2018-03-01,2017-11-29,0.5358606
2018-05-14,2018-06-01,2018-04-24,0.5207630999999999
2018-08-14,2018-09-01,2018-08-02,0.5095574
2018-11-14,2018-12-01,2018-11-02,0.5072760000000001
2019-02-14,2019-03-01,2018-12-10,0.55571
2019-05-14,2019-06-01,,0.5486291999999999
2019-08-14,2019-09-01,2019-08-01,0.5535738
2019-11-14,2019-12-01,2019-11-06,0.5581494
2020-02-13,2020-03-01,2019-12-10,0.6109829999999999
2020-05-14,2020-06-01,2020-05-05,0.5754239999999999
