Ex,Pay,Dec,Div
2015-08-13,2015-09-08,2015-07-28,0.79
2015-11-12,2015-12-07,2015-10-14,0.79
2016-02-11,2016-03-08,2015-12-15,1.0
2016-05-13,2016-06-08,2016-03-02,1.0
2016-08-15,2016-09-08,2016-07-22,1.0
2016-11-14,2016-12-08,2016-10-14,1.0
2017-02-13,2017-03-08,2016-12-20,1.15
2017-05-15,2017-06-08,2017-03-07,1.15
2017-08-15,2017-09-08,2017-07-28,1.15
2017-11-16,2017-12-08,2017-10-24,1.15
2018-02-14,2018-03-08,2017-12-12,1.32
2018-05-16,2018-06-08,2018-03-07,1.32
2018-08-16,2018-09-07,2018-07-31,1.32
2018-11-15,2018-12-07,2018-10-23,1.32
2019-02-14,2019-03-08,2018-12-07,1.45
2019-05-16,2019-06-07,2019-03-07,1.45
2019-08-14,2019-09-06,2019-08-02,1.45
2019-11-14,2019-12-06,2019-10-22,1.45
2020-02-13,2020-03-06,2019-12-11,1.6
2020-05-15,2020-06-08,2020-03-04,1.6
